preprocessedSmiles,Molecule ChEMBL ID,pChEMBL Value,activity_classification
CCCCCCCC[C@]1(c2ccncc2)CCC(=O)NC1=O,CHEMBL88412,5.8,inactive
COc1c(O)cc2oc3cc(O)c(CC=C(C)C)c(O)c3c(=O)c2c1C=CC(C)C,CHEMBL323197,4.68,inactive
CC12CCC3C(C(=O)C=C4C=CCCC43CO)C1CCC2=O,CHEMBL302530,4.22,inactive
CC(c1ccncc1)c1cc2c3c(c1)CCN3C(=O)CC2,CHEMBL2312950,5.82,inactive
CC(C)=CCc1c(O)c2c(O)c3c(C=CC(C)C)c(O)c(=O)c(=CCC(C)C)c3oc2cc1=O,CHEMBL454580,4.6,inactive
COc1ccc2c(c1)CCC(Cc1c[nH]cn1)=C2C,CHEMBL448463,4.77,inactive
O=C(Cc1cccnc1)OC12CC3CC(CC(C3)C1)C2,CHEMBL135037,5.05,inactive
CC(C)=CCc1c(O)ccc2c1O[C@H](c1ccc(O)cc1O)CC2=O,CHEMBL457686,5.47,inactive
O=C1c2c(ccc3ccccc23)OCC1c1ccccc1,CHEMBL2011176,4.7,inactive
COc1ccc2c(c1)C/C(=C/c1ccncc1)C2=O,CHEMBL285155,5.2,inactive
COc1ccc(-c2cnnn2Cc2ccco2)cc1,CHEMBL495563,5.51,inactive
CN(c1ccc([N+](=O)[O-])cc1OCc1ccc(F)cc1)S(C)(=O)=O,CHEMBL376649,5.75,inactive
O=[N+]([O-])c1cccc(Cc2nncc3ccccc23)c1,CHEMBL495574,4.42,inactive
N#Cc1ccc(Cn2cc(COc3ccc(Cl)cc3)nn2)cc1,CHEMBL1825032,5.41,inactive
Cc1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2OCc2ccccc2)cc1,CHEMBL272464,4.76,inactive
CCOc1ccc(-c2csc(-c3ccncc3)n2)cn1,CHEMBL1957222,5.87,inactive
CCC(C)C1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL28668,5.52,inactive
CCCCCC1(c2ccncc2)CCC(=O)NC1=O,CHEMBL288712,5.6,inactive
Clc1ccc(OCc2cn(Cc3ccccc3)nn2)cc1,CHEMBL1825044,5.3,inactive
Clc1ccc(CN(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)c(Cl)c1,CHEMBL490194,5.44,inactive
CC(C)=CCc1cc(C2CC(=O)c3ccc(O)cc3O2)ccc1O,CHEMBL389924,4.39,inactive
O=[N+]([O-])c1ccccc1S(=O)(=O)NCCc1c(C(c2ccccc2O)c2[nH]c3ccccc3c2CCNS(=O)(=O)c2ccccc2[N+](=O)[O-])[nH]c2ccccc12,CHEMBL4166364,5.34,inactive
c1ccc(C2(n3cncn3)c3ccccc3-c3ccccc32)cc1,CHEMBL376371,5.4,inactive
Clc1ccc(CN(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)cc1,CHEMBL491013,5.93,inactive
Clc1ccc(C(C2Cc3ccccc3O2)n2cnnn2)cc1,CHEMBL294357,5.52,inactive
Fc1ccccc1CC(Cc1ccc(-c2ccccc2)cc1)n1ccnc1,CHEMBL489189,5.86,inactive
CN(c1ccc(NC(=O)c2ccccc2)cc1OCc1ccccc1)S(C)(=O)=O,CHEMBL443066,5.75,inactive
CN(c1ccc(N)cc1OCc1ccccc1)S(C)(=O)=O,CHEMBL272398,5.96,inactive
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCc1ccc2ccccc2c1,CHEMBL223161,5.66,inactive
CCCCCCOc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,CHEMBL202452,5.35,inactive
N#Cc1ccc(Cn2cc(C3CCCCC3)nn2)cc1,CHEMBL1825029,4.97,inactive
c1ccc(Cn2cc(COc3ccccc3)nn2)cc1,CHEMBL272339,4.97,inactive
CCCCCCc1cn(Cc2ccc(C#N)cc2)nn1,CHEMBL1825026,5.28,inactive
CCCCCCc1cn(C(c2ccc(C#N)cc2)c2ccc(C#N)cc2)nn1,CHEMBL1824743,5.29,inactive
N=C(N)NS(=O)(=O)c1ccc(N=CCC(=O)c2ccc3c(c2)Nc2ccccc2S3)cc1,CHEMBL4077259,5.01,inactive
CCCCCCCCCOc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,CHEMBL202470,5.4,inactive
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1,CHEMBL223108,5.67,inactive
CC(=O)Oc1cc(C=Cc2ccc(N)cc2)cc(OC(C)=O)c1,CHEMBL1172400,5.53,inactive
CC12CCC3C(CCC4=CCCCC43CO)C1CCC2O,CHEMBL440691,5.64,inactive
O=c1ccoc2c(Cn3ccnc3)ccc([N+](=O)[O-])c12,CHEMBL351167,5.96,inactive
N#Cc1ccc(Cn2ccnc2)c2c(=O)c3ccccc3oc12,CHEMBL442373,5.64,inactive
O=C(CC=Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1ccc2c(c1)Nc1ccccc1S2,CHEMBL4060208,5.25,inactive
CC12CCC3C(C(=O)C=C4CCCCC43C)C1CCC2=O,CHEMBL70367,5.75,inactive
Cc1ccccc1CC(Cc1ccc(-c2ccccc2)cc1)n1ccnc1,CHEMBL489187,5.98,inactive
COC(=O)C1Cc2c([nH]c3ccccc23)CN1C(=O)NC(C)C,CHEMBL1915167,4.33,inactive
C(=C/c1ccccc1)\CCN(Cc1cccc2ccccc12)n1cncn1,CHEMBL491010,4.88,inactive
CCCCCCC1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL29339,5.82,inactive
Cc1ccccc1-c1cc2cc([N+](=O)[O-])ccc2[nH]1,CHEMBL4212655,5.16,inactive
CCCc1cn(C(c2ccc(C#N)cc2)c2ccc(C#N)cc2)nn1,CHEMBL1824742,5.33,inactive
c1ccc(Cn2cc(COc3ccc(-c4ccccc4)cc3)nn2)cc1,CHEMBL1825049,4.97,inactive
C[C@]12CCC3C(CCC4C(=O)C(=O)CC[C@@]43C)C1CCC(=O)O2,CHEMBL197451,5.73,inactive
COc1ccc(C=Cc2ccc(N)cc2)c(OC)c1OC,CHEMBL1173067,5.45,inactive
C(=C(c1ccccc1)c1ccccc1)c1cccnc1,CHEMBL370317,5.44,inactive
CSCSC1=C2CCC3C4CCC(=O)[C@@]4(C)CCC3[C@@]2(C)CCC1=O,CHEMBL39434,5.92,inactive
O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,CHEMBL283196,5.7,inactive
N#Cc1cccc(C2CC(=O)c3ccc4ccccc4c3O2)c1,CHEMBL258257,5.86,inactive
N#Cc1ccc(Cn2cc(COc3ccc(C#N)cc3)nn2)cc1,CHEMBL1825033,5.04,inactive
COc1ccc2c(c1)OC(c1ccccc1)CC2=O,CHEMBL9687,5.1,inactive
O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21,CHEMBL252642,5.68,inactive
O=C(Cn1ccnc1)c1ccc(OCc2cccc(OC(F)(F)F)c2)cc1,CHEMBL3359961,5.23,inactive
C[C@]12CC[C@H]3[C@@H](CCC4C(=O)C(=O)CC[C@@]43C)[C@@H]1CCC(=O)O2,CHEMBL1630909,5.73,inactive
COc1c(C)c(OC)c2c(c1C)O[C@H](c1ccccc1)C[C@H]2O,CHEMBL3134111,4.97,inactive
COc1ccc2c(c1)CCC/C2=C\c1cccnc1,CHEMBL362441,5.95,inactive
Cc1ccc(CN(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)cc1,CHEMBL490187,5.66,inactive
Cc1ccccc1CN(Cc1ccc(-c2ccccc2)cc1)n1ccnc1,CHEMBL490795,5.53,inactive
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL164,5.0,inactive
COC(=O)c1ccc(N=Cc2cc(O)c3ccccc3c2O)cc1,CHEMBL1991089,4.02,inactive
CO[C@H]1CCC[C@@]2(CO)C1=CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12,CHEMBL1630275,3.82,inactive
Oc1cccc(C(c2cccc(O)c2)n2cncn2)c1,CHEMBL455832,5.61,inactive
C[C@]12CC[C@H]3[C@@H](CCC4C(=O)CCC[C@@]43C)[C@@H]1CCC2=O,CHEMBL1630279,5.62,inactive
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1C/C(=C\c1cccc(OCCCn3ccnc3)c1)[C@@H]2O,CHEMBL2282053,5.04,inactive
CCC(CC)(C(=O)OC1CC2CC([C@@H]1C)C2(C)C)c1ccncc1,CHEMBL132380,4.26,inactive
CCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,CHEMBL39661,5.05,inactive
COc1ccc2c(c1)OC(c1ccccc1)/C(=C/c1ccncc1)C2=O,CHEMBL267508,5.8,inactive
