preprocessedSmiles,Molecule ChEMBL ID,activity_classification
O=C1c2ccc(O)cc2CCC1Cc1ccncc1,CHEMBL91818,inactive
COc1ccc2c(c1)OC(c1ccccc1)CC2n1cnnc1,CHEMBL184952,inactive
CSC12CCC(=O)C=C1CCC1C2=CCC2(C)C(=O)CCC12,CHEMBL165342,inactive
COc1ccc2c(c1)C(=O)C(Cc1ccncc1)CC2,CHEMBL93666,inactive
COc1ncnc(NS(=O)(=O)c2ccc(N=CCC(=O)c3cc4ccccc4oc3=O)cc2)c1OC,CHEMBL3926174,inactive
O=c1cc(OCc2cn(-c3ccc(S(=O)(=O)NCCc4ccccc4)cc3)nn2)c2ccccc2o1,CHEMBL2430498,inactive
COc1ccc(CCNS(=O)(=O)c2ccc(-n3cc(-c4ccccc4)nn3)cc2)cc1OC,CHEMBL2430499,inactive
COc1ccc(CCNS(=O)(=O)c2ccc(-n3cc(COc4ccc([N+](=O)[O-])cc4)nn3)cc2)cc1OC,CHEMBL2430501,inactive
Brc1ccc2c(c1)CCC2=Cc1ccncc1,CHEMBL366773,inactive
Brc1ccc2c(c1)CCC2=Cc1cccnc1,CHEMBL176118,inactive
COc1ccc(CN(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)cc1,CHEMBL491215,inactive
CC12CCC3C(CC=C4CCCCC43CO)C1CCC2=O,CHEMBL1630911,inactive
N#Cc1ccc(C2CC(=O)c3ccc4ccccc4c3O2)cc1,CHEMBL255108,inactive
COC(=O)C1Cc2c([nH]c3ccccc23)CN1Cc1ccc(O)cc1,CHEMBL1915401,inactive
COc1ccc(S(=O)(=O)Nc2ccc(N=Nc3ccccc3)cc2)c(OC)c1,CHEMBL4870604,inactive
Cc1ccc(S(=O)(=O)NCCc2c(C(c3ccccc3O)c3[nH]c4ccccc4c3CCNS(=O)(=O)c3ccc(C)cc3)[nH]c3ccccc23)cc1,CHEMBL4162163,inactive
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OCC1CCCCC1,CHEMBL204501,inactive
O=c1c2ccccc2oc2ccc(Cn3ccnc3)cc12,CHEMBL1083354,inactive
CCC(=C(c1ccc(O)cc1)c1ccc(CCCN)cc1)c1ccccc1,CHEMBL3422051,inactive
COc1cc(C2CC(=O)Oc3cc4c(cc32)OCO4)cc(OC)c1OC(C)=O,CHEMBL3827037,inactive
Fc1ccc(-c2nc(-c3cccnc3)cs2)cc1,CHEMBL1957210,inactive
CCCc1cn(C(c2ccccc2)c2ccccc2)nn1,CHEMBL1824756,inactive
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cc(COc3ccc([N+](=O)[O-])cc3)nn2)cc1,CHEMBL1824751,inactive
Cc1ccc(OCc2cn(C(c3ccc(C#N)cc3)c3ccc(C#N)cc3)nn2)cc1,CHEMBL1824752,inactive
c1ccc(C(c2ccccc2)n2cc(C3CCCCC3)nn2)cc1,CHEMBL1824760,inactive
c1ccc(OCc2cn(C(c3ccccc3)c3ccccc3)nn2)cc1,CHEMBL1824762,inactive
O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,CHEMBL129795,inactive
CC(=C(c1ccc(O)cc1)c1ccc(OCC(N)=O)cc1)c1ccc([N+](=O)[O-])cc1,CHEMBL3925065,inactive
CC12CCC3C(CCC4C(=O)C(O)CCC43C)C1CCC2O,CHEMBL2431526,inactive
CC(C)Oc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,CHEMBL203869,inactive
Fc1ccc(C(C2Cc3ccccc3O2)n2cnnn2)cc1,CHEMBL294360,inactive
COc1cc(C2CC(=O)Oc3cc4c(cc32)OCO4)cc(OC)c1O,CHEMBL3623228,inactive
NS(=O)(=O)Oc1ccc(C(c2ccc(OS(N)(=O)=O)cc2)n2cncn2)cc1,CHEMBL479942,inactive
O=C(CC=Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1)c1ccc2c(c1)Nc1ccccc1S2,CHEMBL4068601,inactive
O=S(=O)(NCCc1c(C(c2ccc(C(F)(F)F)cc2)c2[nH]c3ccccc3c2CCNS(=O)(=O)c2ccc(Cl)cc2)[nH]c2ccccc12)c1ccc(Cl)cc1,CHEMBL4163649,inactive
Nc1ccc(Cn2ccnc2)c2c(=O)c3ccccc3oc12,CHEMBL2333337,inactive
Cc1ccc(S(=O)(=O)n2cc(C(c3ccccc3)n3ccnc3)c3ccccc32)cc1,CHEMBL324070,inactive
O=[N+]([O-])c1cccc(S(=O)(=O)NCc2cccc(CNS(=O)(=O)c3cccc([N+](=O)[O-])c3)c2)c1,CHEMBL4439561,inactive
COC1=C2CC(=O)C=CC2(C)C2CCC3(C)C(=O)CCC3C2C1,CHEMBL2179107,inactive
CC12CCC3C(CC=C4CCCCC43CO)C1CCC2O,CHEMBL308829,inactive
CCCCCCCC1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL29338,inactive
CC12CCC3C(CCC4CC5OC5CC43C)C1CCC2=O,CHEMBL2058268,inactive
COc1ccc2cc(Cn3ccnc3)c(=O)oc2c1,CHEMBL387892,inactive
C#CC(O)C12CCCC=C1CCC1C3CCC(=O)C3(C)CCC12,CHEMBL82981,inactive
O=C1c2cc(O)ccc2CCC1Cc1ccncc1,CHEMBL90077,inactive
CCCCCCOc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O,CHEMBL202471,inactive
O=S(=O)(NCCc1ccccc1)c1ccc(-n2cc(-c3ccccc3)nn2)cc1,CHEMBL2430505,inactive
CC12CCC3C(CCC4C5OC5CCC34C)C1CCC2O,CHEMBL1629803,inactive
CCC1CCCC2(C)C1=CCC1C3CCC(=O)C3(C)CCC12,CHEMBL1630277,inactive
CC12CCC3C(CCC4(O)C(=O)C(O)CCC34C)C1CCC2=O,CHEMBL2431524,inactive
O=C1c2ccccc2-c2nnc(Cn3ccnc3)cc21,CHEMBL387518,inactive
COc1ccc2c(c1)OC(c1ccccc1)CC2n1cncn1,CHEMBL185165,inactive
Clc1ccc(OCc2cn(C(c3ccccc3)c3ccccc3)nn2)cc1,CHEMBL1824763,inactive
CC(=O)N1CCN(c2ccc(C=Cc3cc(F)cc(-c4ccncc4)c3)cc2)CC1,CHEMBL4129721,inactive
CC1C(OC(=O)C(C)(C)c2ccncc2)CC2CC1C2(C)C,CHEMBL135070,inactive
COc1ccc2c(=O)c(-c3ccccc3)c(SCc3ccncc3)oc2c1,CHEMBL185809,inactive
CC1OC2(C(C)(C)O)C=C3CCC4C(C)(C)CCCC4(C)C31OO2,CHEMBL4859743,inactive
CC(=O)OC1CCC2C3CCC4=CCCCC4(CO)C3CCC12C,CHEMBL81255,inactive
COC(C)(C)c1cncc(-c2ccc3c(c2)CCc2nnc(C)n2-3)c1,CHEMBL2331704,inactive
COc1cc2c(cc1OC)CN(S(=O)(=O)c1ccc(-n3cc(COc4ccccc4C)nn3)cc1)CC2,CHEMBL3264679,inactive
CC12CCC3c4ccc(O)c(NC(=O)c5ccncc5)c4CCC3C1CCC2=O,CHEMBL3623221,inactive
O=C(C=Cc1ccc(O)c(O)c1)OCC1OC(OCCc2ccc(O)c(O)c2)C(OC2OCC(O)(CO)C2O)C(O)C1O,CHEMBL1689258,inactive
CCCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,CHEMBL38550,inactive
COc1ccc(S(=O)(=O)NCCc2c(C3(c4[nH]c5ccccc5c4CCNS(=O)(=O)c4ccc(OC)cc4)C(=O)Nc4ccccc43)[nH]c3ccccc23)cc1,CHEMBL4159550,inactive
O=S(=O)(NCCc1c(C(c2ccc3c(c2)Cc2ccccc2-3)c2[nH]c3ccccc3c2CCNS(=O)(=O)c2ccc(Cl)cc2)[nH]c2ccccc12)c1ccc(Cl)cc1,CHEMBL4162907,inactive
Cc1nn(-c2cncc(C(C)(O)C(F)(F)F)c2)c2ccccc12,CHEMBL4098297,inactive
CC12CCC3C(Cc4noc5c4C3(C)CCC5=O)C1CCC2=O,CHEMBL3752050,inactive
COc1ccc2c(=O)c(Cn3ccnc3)c(-c3ccc(C#N)cc3)oc2c1,CHEMBL377626,inactive
CCc1nc(C)cn1Cc1ccccc1CC(=O)O,CHEMBL3623229,inactive
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,CHEMBL106,inactive
O=C(CC=Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1)c1cc2ccccc2oc1=O,CHEMBL3959541,inactive
O=C(Cn1ccnc1)c1ccc(OCc2cccnc2)cc1,CHEMBL3359965,inactive
CCOc1ccc2c(c1)CCC2=Cc1cccnc1,CHEMBL176886,inactive
CC12CC=CC=C1CC(=O)C1C2CCC2(C)C(O)CCC12,CHEMBL311400,inactive
O=S(=O)(C(F)F)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,CHEMBL3968178,inactive
CC12CCC3C4=C(C=CCC4)CC(=O)C3C1CCC2=O,CHEMBL71612,inactive
CC(=O)OC1=CC2C(=O)CC3C4CCC(=O)C4(C)CCC3C2(C)CC1,CHEMBL3752351,inactive
COc1ccc2cc(-c3cccnc3)ccc2c1Cl,CHEMBL197576,inactive
CC12CCC3C(C(=O)C=C4C=CCCC43C)C1CCC2=O,CHEMBL262723,inactive
CC12CCC3C(CC=C4CC(=O)CCC43C)C1CC(=Cc1ccncc1)C2=O,CHEMBL2003274,inactive
CC1C(OC(=O)Cc2cccnc2)CC2CC1C2(C)C,CHEMBL131984,inactive
CCC(=C(c1ccc(O)cc1)c1ccc(OCCNC)cc1)c1ccccc1,CHEMBL1093458,inactive
